identifier,logp_crippen,mol_weight,hb_donors,hb_acceptors,smiles
LICSOG,1.4126,208.016261384,0,3,CN(C)C(=S)SC(=S)N(C)C
LICWOM,1.544,361.14378433999997,1,6,CC1COc2c(N3CCN(C)CC3)c(F)cc3C(=O)C(=CN1c23)C(O)=O
LICWOM01,1.544,361.14378433999997,1,6,CC1COc2c(N3CCN(C)CC3)c(F)cc3C(=O)C(=CN1c23)C(O)=O
LIDOCA10,3.3070400000000015,424.09305417600007,2,1,F[As-](F)(F)(F)(F)F.CC[NH+](CC)CC(=O)Nc1c(C)cccc1C
LIDOCN,-2.654059999999993,288.16045572,2,1,[Cl-].CC[NH+](CC)CC(=O)Nc1c(C)cccc1C.O
LIDOCN01,-2.6540599999999923,288.16045572,2,1,[Cl-].O.CC[NH+](CC)CC(=O)Nc1c(C)cccc1C
LIDPUM,1.4581,274.095356928,4,4,Nc1ccc(cc1)C(O)=O.NC(=O)c1ccc(O)cc1
LIDPUM01,1.4581000000000002,274.095356928,4,4,NC(=O)c1ccc(O)cc1.Nc1ccc(cc1)C(O)=O
LIFNOE,-2.5553,178.095356928,1,2,NC(=O)CN1CCCC1=O.O.O
LIGNOH,3.263300000000001,272.061948624,2,4,NC1=Nc2ccccc2S1.OC(=O)c1ccccc1
LIGOLM,-6.092099999999998,100.03478819000001,1,3,OCC(=O)[O-].[Li+].O
LIGQID,1.5013999999999998,314.04496436399995,3,6,Nc1nnc(c(N)n1)c1cccc(Cl)c1Cl.CC(N)=O
LIGYOR,1.1639000000000002,376.06551334399995,3,8,O=C1CN(N=CC2=CC=C(O2)N(=O)=O)C(=O)N1.OC(=O)c1ccc(O)cc1
LIHCIT,-5.579199999999998,198.035182114,3,5,OC(=O)CC(O)(CC(O)=O)C(=O)[O-].[Li+]
LIJZAI,0.6729,392.934047792,3,4,OC(=O)C(Cl)Cl.ClC(Cl)C(=O)[O-].[NH3+]c1ccc(cc1)C(O)=O
LIJZEM,0.3646999999999996,298.9518907759999,2,3,ClC(Cl)(Cl)C(=O)[O-].[NH3+]c1ccc(cc1)C(O)=O
