identifier,logp_crippen,mol_weight,hb_donors,hb_acceptors,smiles
OPOTUK,-10.077900000000001,862.2550340280002,14,20,Nc1nc(N)nc(N)n1.Nc1nc(N)nc(N)n1.FC1=CNC(=O)NC1=O.FC1=CNC(=O)NC1=O.FC1=CNC(=O)NC1=O.FC1=CNC(=O)NC1=O.O.O.O.O.O
OPOVAS,-2.179500000000001,256.083249748,5,8,FC1=CNC(=O)NC1=O.Nc1nc(N)nc(N)n1
OPUHAL,20.32752,1042.84656,2,6,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(O)c(C)c(C)c2O1.CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(O)c(C)c(C)c2O1.c1cc(ccn1)C=Cc1ccncc1
OPUKIV,0.7623999999999999,356.073239492,2,6,CN1C(=O)N(C)C2=C(NC=N2)C1=O.OC(=O)c1cc(F)cc(F)c1F
OPUKOB,0.7623999999999994,356.073239492,2,6,CN1C(=O)N(C)C2=C(NC=N2)C1=O.OC(=O)c1c(F)ccc(F)c1F
OPUKUH,0.7623999999999996,356.073239492,2,6,CN1C(=O)N(C)C2=C(NC=N2)C1=O.OC(=O)c1cc(F)c(F)cc1F
OPUKUH01,0.7623999999999996,356.073239492,2,6,CN1C(=O)N(C)C2=C(NC=N2)C1=O.OC(=O)c1cc(F)c(F)cc1F
OPULES,0.7623999999999996,356.073239492,2,6,CN1C(=O)N(C)C2=C(NC=N2)C1=O.OC(=O)c1c(F)cc(F)cc1F
OPULES01,0.7623999999999997,356.0732394920001,2,6,OC(=O)c1c(F)cc(F)cc1F.CN1C(=O)N(C)C2=C(NC=N2)C1=O
OPULOC,0.7623999999999996,356.073239492,2,6,CN1C(=O)N(C)C2=C(NC=N2)C1=O.OC(=O)c1cc(F)c(F)c(F)c1
OPULUI,1.802999999999999,748.1276353600001,4,12,CN1C(=O)N(C)C2=C(NC=N2)C1=O.OC(=O)c1cc(F)c(F)c(F)c1F.CN1C(=O)N(C)C2=C(NC=N2)C1=O.OC(=O)c1cc(F)c(F)c(F)c1F
OPUMAP,1.0405999999999995,392.05439586800003,2,6,CN1C(=O)N(C)C2=C(NC=N2)C1=O.OC(=O)c1c(F)c(F)c(F)c(F)c1F
